K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
270,0,0,N/A,N/A,0.0%,1079,False,False,
271,1,4,271,273,50.0%,1083,False,False,
272,0,0,N/A,N/A,0.0%,1087,True,False,
273,0,1,N/A,N/A,0.0%,1091,True,False,
274,0,0,N/A,N/A,0.0%,1095,False,False,
275,0,13,N/A,N/A,0.0%,1099,False,False,
276,0,0,N/A,N/A,0.0%,1103,True,False,
277,1,13,277,279,50.0%,1107,False,False,
278,0,0,N/A,N/A,0.0%,1111,False,False,
279,0,1,N/A,N/A,0.0%,1115,False,False,
280,0,0,N/A,N/A,0.0%,1119,False,False,
281,2,54,283,287,66.7%,1123,True,False,
282,0,0,N/A,N/A,0.0%,1127,False,False,
283,1,5,283,285,50.0%,1131,False,False,
284,0,0,N/A,N/A,0.0%,1135,False,False,
285,0,0,N/A,N/A,0.0%,1139,False,False,
286,0,0,N/A,N/A,0.0%,1143,False,False,
287,0,8,N/A,N/A,0.0%,1147,False,False,
288,0,0,N/A,N/A,0.0%,1151,True,False,
289,0,0,N/A,N/A,0.0%,1155,False,False,
290,0,0,N/A,N/A,0.0%,1159,False,False,
291,0,4,N/A,N/A,0.0%,1163,True,False,
292,0,0,N/A,N/A,0.0%,1167,False,False,
293,1,8,293,295,50.0%,1171,True,False,
294,0,0,N/A,N/A,0.0%,1175,False,False,
295,0,3,N/A,N/A,0.0%,1179,False,False,
296,0,0,N/A,N/A,0.0%,1183,False,False,
297,0,2,N/A,N/A,0.0%,1187,True,False,
298,0,0,N/A,N/A,0.0%,1191,False,False,
299,0,1,N/A,N/A,0.0%,1195,False,False,
300,0,0,N/A,N/A,0.0%,1199,False,False,
301,0,10,N/A,N/A,0.0%,1203,False,False,
302,0,0,N/A,N/A,0.0%,1207,False,False,
303,0,0,N/A,N/A,0.0%,1211,False,False,
304,0,0,N/A,N/A,0.0%,1215,False,False,
305,0,4,N/A,N/A,0.0%,1219,False,False,
306,0,0,N/A,N/A,0.0%,1223,True,False,
307,1,49,307,309,50.0%,1227,False,False,
308,0,0,N/A,N/A,0.0%,1231,True,False,
309,0,1,N/A,N/A,0.0%,1235,False,False,
310,0,0,N/A,N/A,0.0%,1239,False,False,
311,3,61,317,323,75.0%,1243,False,False,
312,0,0,N/A,N/A,0.0%,1247,False,False,
313,1,1,313,315,50.0%,1251,False,False,
314,0,0,N/A,N/A,0.0%,1255,False,False,
315,0,1,N/A,N/A,0.0%,1259,True,False,
316,0,0,N/A,N/A,0.0%,1263,False,False,
317,1,23,317,319,50.0%,1267,False,False,
318,0,0,N/A,N/A,0.0%,1271,False,False,
319,0,3,N/A,N/A,0.0%,1275,False,False,
320,0,0,N/A,N/A,0.0%,1279,True,False,
321,0,0,N/A,N/A,0.0%,1283,True,False,
322,0,0,N/A,N/A,0.0%,1287,False,False,
323,0,0,N/A,N/A,0.0%,1291,True,False,
324,0,0,N/A,N/A,0.0%,1295,False,False,
325,0,5,N/A,N/A,0.0%,1299,False,False,
326,0,0,N/A,N/A,0.0%,1303,True,False,
327,0,2,N/A,N/A,0.0%,1307,True,False,
328,0,0,N/A,N/A,0.0%,1311,False,False,
329,0,24,N/A,N/A,0.0%,1315,False,False,
330,0,0,N/A,N/A,0.0%,1319,True,False,
331,1,20,331,333,50.0%,1323,False,False,
332,0,0,N/A,N/A,0.0%,1327,True,False,
333,0,3,N/A,N/A,0.0%,1331,False,False,
334,0,0,N/A,N/A,0.0%,1335,False,False,
335,0,2,N/A,N/A,0.0%,1339,False,False,
336,0,0,N/A,N/A,0.0%,1343,False,False,
337,1,5,337,339,50.0%,1347,False,False,
338,0,0,N/A,N/A,0.0%,1351,False,False,
339,0,1,N/A,N/A,0.0%,1355,False,False,
340,0,0,N/A,N/A,0.0%,1359,False,False,
341,0,14,N/A,N/A,0.0%,1363,False,False,
342,0,0,N/A,N/A,0.0%,1367,True,False,
343,0,4,N/A,N/A,0.0%,1371,False,False,
344,0,0,N/A,N/A,0.0%,1375,False,False,
345,0,1,N/A,N/A,0.0%,1379,False,False,
